               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089463,            0.022794,            0.069018,             0.11982,            0.033634,            0.035449,            0.012136,            0.050719,            0.008497,             0.06475,            0.070294,           0.0033007,           0.0033007
                   1,            0.049258,            0.020004,            0.065506,            0.073901,             0.47473,             0.10522,            0.068088,             0.03608,           0.0049803,            0.060552,            0.039637,           0.0059772,           0.0059772
                   2,            0.044852,            0.015494,            0.064157,            0.085881,             0.60389,             0.13928,             0.08007,            0.031938,           0.0045637,            0.058788,           0.0083206,           0.0079938,           0.0079938
                   3,            0.039333,            0.014293,            0.063303,             0.12294,             0.56981,             0.21011,               0.127,            0.028066,           0.0038905,            0.056806,             0.00703,             0.00703,             0.00703
                   4,            0.035033,            0.013453,            0.061871,              0.1985,             0.47907,             0.22923,             0.14952,            0.025778,           0.0037153,            0.053582,             0.00703,             0.00703,             0.00703
                   5,            0.031728,             0.01269,            0.059879,             0.37096,             0.47063,             0.25477,             0.17553,             0.02265,           0.0035511,            0.052275,             0.00604,             0.00604,             0.00604
                   6,            0.028894,            0.012398,            0.058833,               0.289,             0.50053,             0.25434,             0.17075,            0.021334,            0.003442,            0.051157,             0.00505,             0.00505,             0.00505
                   7,            0.026888,            0.011539,            0.056971,             0.40364,             0.48997,             0.33237,              0.2442,            0.020561,           0.0032297,            0.048038,             0.00406,             0.00406,             0.00406
                   8,            0.025474,            0.011675,             0.05568,             0.21927,             0.64933,             0.39547,              0.2873,            0.019713,           0.0034249,            0.046935,             0.00307,             0.00307,             0.00307
                   9,            0.023619,            0.011279,            0.054446,             0.28734,             0.65852,             0.45604,             0.33494,            0.019098,           0.0033753,            0.045472,             0.00208,             0.00208,             0.00208
