               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089463,            0.022794,            0.069018,             0.11982,            0.033634,            0.035449,            0.012136,            0.050719,            0.008497,             0.06475,            0.070294,           0.0033007,           0.0033007
                   1,            0.049779,             0.01988,             0.06547,            0.091618,             0.61757,             0.12328,            0.076584,             0.03501,           0.0049167,            0.061246,             0.04013,           0.0064698,           0.0064698
                   2,            0.046309,             0.01564,            0.064094,            0.092606,             0.47905,              0.1212,            0.055499,            0.036204,             0.00485,            0.058036,           0.0098007,           0.0094739,           0.0094739
                   3,            0.041254,            0.014411,            0.062951,             0.29105,             0.43136,             0.21836,             0.13006,            0.027583,           0.0040328,            0.055895,           0.0092575,           0.0092575,           0.0092575
                   4,            0.035982,            0.013481,            0.060997,             0.46014,             0.50599,             0.23485,             0.15031,            0.025359,           0.0039684,             0.05337,           0.0092575,           0.0092575,           0.0092575
                   5,            0.033588,            0.012702,            0.059126,             0.64409,              0.4355,             0.25933,             0.16608,            0.025734,           0.0036148,            0.051468,             0.00901,             0.00901,             0.00901
                   6,              0.0318,            0.012409,            0.057519,             0.35599,             0.52073,             0.30856,               0.206,            0.024598,           0.0035028,            0.048049,           0.0087625,           0.0087625,           0.0087625
                   7,            0.029274,            0.011659,            0.054665,             0.32574,             0.57737,             0.46062,             0.33376,            0.020401,            0.003225,            0.044318,            0.008515,            0.008515,            0.008515
                   8,            0.029249,            0.011939,             0.05221,             0.46434,             0.57034,             0.52428,             0.37653,            0.021434,            0.003649,            0.042017,           0.0082675,           0.0082675,           0.0082675
                   9,            0.028671,            0.011716,            0.048796,             0.72531,             0.59987,             0.68993,             0.47799,            0.020808,           0.0034851,            0.035825,             0.00802,             0.00802,             0.00802
                  10,             0.02842,            0.011807,            0.045629,             0.66626,             0.66997,             0.71212,              0.5121,            0.021769,           0.0033843,             0.03109,           0.0077725,           0.0077725,           0.0077725
                  11,            0.028251,            0.011864,            0.042406,             0.63413,              0.7303,             0.72698,             0.51219,            0.021028,           0.0036574,            0.029584,            0.007525,            0.007525,            0.007525
                  12,            0.028149,            0.011616,            0.039323,             0.62505,              0.8699,               0.791,             0.57393,            0.020408,            0.003442,             0.02515,           0.0072775,           0.0072775,           0.0072775
                  13,            0.027499,            0.011399,            0.037369,             0.67006,             0.87328,             0.81293,             0.60392,            0.019534,           0.0032963,            0.021275,             0.00703,             0.00703,             0.00703
                  14,            0.026264,             0.01117,            0.035352,             0.67779,             0.91355,             0.83571,             0.58841,             0.02073,           0.0033371,            0.019277,           0.0067825,           0.0067825,           0.0067825
                  15,            0.026369,            0.011322,            0.033915,             0.75014,              0.9167,             0.87785,             0.66147,            0.018196,           0.0031598,            0.018955,            0.006535,            0.006535,            0.006535
                  16,            0.025691,            0.010922,            0.032944,             0.81071,             0.91898,              0.9197,             0.68453,            0.019318,           0.0032309,            0.016322,           0.0062875,           0.0062875,           0.0062875
                  17,            0.025628,            0.011362,            0.031899,             0.88538,             0.89131,             0.94893,             0.70718,            0.018763,           0.0031957,            0.014321,             0.00604,             0.00604,             0.00604
                  18,             0.02529,            0.011278,            0.030892,             0.92657,              0.9132,             0.95616,             0.71551,            0.020482,           0.0031893,            0.013539,           0.0057925,           0.0057925,           0.0057925
                  19,            0.024981,            0.011108,            0.029489,             0.92226,             0.92012,             0.95282,             0.72279,            0.018147,           0.0033155,            0.013217,            0.005545,            0.005545,            0.005545
                  20,             0.02412,            0.010676,            0.028358,             0.91846,             0.93161,             0.97044,             0.73304,            0.019212,           0.0031326,            0.011291,           0.0052975,           0.0052975,           0.0052975
                  21,            0.024538,            0.011018,            0.027105,             0.94622,             0.94876,             0.97568,             0.74128,            0.017849,           0.0031286,           0.0096392,             0.00505,             0.00505,             0.00505
                  22,            0.023909,            0.010673,            0.025836,             0.95893,             0.90722,             0.96925,             0.67954,            0.018684,           0.0033134,           0.0099793,           0.0048025,           0.0048025,           0.0048025
                  23,            0.023646,            0.010859,            0.025695,             0.94263,             0.95483,             0.97746,              0.7268,            0.018618,           0.0030589,           0.0077554,            0.004555,            0.004555,            0.004555
                  24,            0.023535,            0.010796,            0.024611,             0.96633,             0.94929,              0.9835,              0.7452,            0.018211,           0.0031137,           0.0073886,           0.0043075,           0.0043075,           0.0043075
                  25,            0.023036,            0.010637,            0.024773,             0.97267,             0.95312,             0.98136,             0.75172,            0.017476,           0.0032005,           0.0067022,             0.00406,             0.00406,             0.00406
                  26,            0.022734,            0.010554,            0.023815,             0.96508,             0.94731,             0.98474,               0.743,            0.018342,           0.0032355,           0.0067158,           0.0038125,           0.0038125,           0.0038125
                  27,            0.022293,            0.010475,            0.023477,             0.97578,             0.95228,             0.98203,             0.70665,             0.01886,           0.0031894,           0.0061158,            0.003565,            0.003565,            0.003565
                  28,            0.022133,            0.010444,            0.022447,             0.97065,             0.95486,             0.98207,             0.75153,            0.016816,           0.0031688,           0.0059156,           0.0033175,           0.0033175,           0.0033175
                  29,            0.021811,            0.010447,            0.022983,             0.96273,              0.9654,             0.98471,             0.74617,             0.01754,           0.0031567,           0.0055722,             0.00307,             0.00307,             0.00307
                  30,            0.021204,            0.010413,            0.021723,             0.95305,             0.97082,             0.98555,              0.7328,            0.018384,           0.0032064,           0.0053398,           0.0028225,           0.0028225,           0.0028225
                  31,             0.02141,            0.010203,            0.020677,             0.98713,             0.97194,             0.99019,             0.75955,            0.016771,           0.0030738,           0.0044052,            0.002575,            0.002575,            0.002575
                  32,            0.021034,            0.010424,            0.021306,             0.97845,             0.97302,             0.99011,             0.75881,            0.016843,           0.0030586,           0.0043742,           0.0023275,           0.0023275,           0.0023275
                  33,            0.020752,            0.010113,            0.021059,             0.94917,             0.96395,             0.98166,             0.76489,            0.017021,           0.0031469,           0.0056045,             0.00208,             0.00208,             0.00208
                  34,            0.020203,            0.010172,            0.020076,             0.97755,             0.96581,             0.98967,             0.76177,            0.016898,           0.0031985,           0.0042365,           0.0018325,           0.0018325,           0.0018325
                  35,            0.020316,             0.01012,            0.019813,             0.98508,             0.95338,             0.98981,             0.77278,            0.016309,           0.0030588,           0.0041063,            0.001585,            0.001585,            0.001585
                  36,             0.02019,            0.010043,            0.018728,             0.97824,             0.96835,             0.99117,             0.77618,            0.015857,             0.00306,           0.0042307,           0.0013375,           0.0013375,           0.0013375
                  37,            0.019621,            0.010114,            0.018784,             0.98594,             0.96337,             0.98956,             0.76053,            0.016231,           0.0030609,           0.0042526,             0.00109,             0.00109,             0.00109
                  38,             0.01968,            0.010258,            0.018171,              0.9728,             0.97505,             0.99131,             0.77412,            0.015776,           0.0030929,           0.0036766,           0.0008425,           0.0008425,           0.0008425
                  39,            0.019165,           0.0099068,            0.018127,             0.96379,             0.97546,             0.98976,             0.76135,            0.016274,           0.0031529,           0.0038061,            0.000595,            0.000595,            0.000595
