               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12161,            0.030264,                   0,           0.0082482,             0.58824,           0.0089584,           0.0022613,             0.07451,            0.020518,                   0,              0.0928,              0.0008,              0.0008
                   1,            0.092219,             0.03039,                   0,            0.059359,            0.088235,            0.072965,            0.019126,            0.054773,            0.018803,                   0,            0.084658,           0.0016579,           0.0016579
                   2,            0.081407,            0.028268,                   0,             0.28787,             0.58824,             0.32669,            0.093869,            0.048276,            0.016284,                   0,            0.076471,           0.0024713,           0.0024713
                   3,            0.070906,            0.028108,                   0,             0.34964,             0.47059,              0.3627,            0.096347,            0.040136,            0.016391,                   0,             0.06824,           0.0032401,           0.0032401
                   4,            0.065057,             0.02415,                   0,             0.51588,             0.64706,             0.61801,             0.19546,            0.048399,            0.015377,                   0,            0.059964,           0.0039644,           0.0039644
                   5,            0.059364,            0.021653,                   0,             0.82083,             0.61765,             0.78122,             0.34693,            0.047084,            0.014982,                   0,            0.051644,           0.0046441,           0.0046441
                   6,            0.057953,            0.020117,                   0,             0.48201,             0.79412,             0.63479,             0.28769,            0.037444,            0.012769,                   0,            0.043279,           0.0052793,           0.0052793
                   7,            0.056644,            0.019604,                   0,             0.42283,             0.76471,             0.57229,             0.26226,            0.043583,            0.012118,                   0,             0.03487,           0.0058699,           0.0058699
                   8,            0.055727,            0.019286,                   0,             0.72057,             0.91018,              0.8729,             0.36146,            0.035998,           0.0098251,                   0,            0.026416,            0.006416,            0.006416
                   9,            0.056205,            0.018235,                   0,             0.61786,             0.85294,             0.73082,             0.32764,             0.03688,           0.0092605,                   0,            0.017918,           0.0069175,           0.0069175
                  10,            0.049744,            0.018314,                   0,             0.74944,             0.97059,             0.90402,             0.46232,            0.028029,           0.0090044,                   0,           0.0093745,           0.0073745,           0.0073745
                  11,            0.053528,            0.016774,                   0,             0.59086,             0.82353,             0.75051,             0.40351,            0.039947,           0.0080868,                   0,           0.0072775,           0.0072775,           0.0072775
                  12,            0.049018,            0.014957,                   0,             0.52443,             0.97059,             0.68875,             0.29806,            0.035008,           0.0073159,                   0,           0.0072775,           0.0072775,           0.0072775
                  13,            0.043864,            0.015362,                   0,             0.78036,             0.91176,             0.92339,             0.44678,            0.027023,           0.0072522,                   0,             0.00703,             0.00703,             0.00703
                  14,            0.042201,            0.016208,                   0,             0.83165,             0.94118,             0.96932,             0.48104,             0.03202,           0.0072359,                   0,           0.0067825,           0.0067825,           0.0067825
                  15,            0.043071,            0.014406,                   0,             0.96263,                   1,               0.995,             0.60522,            0.022782,           0.0072668,                   0,            0.006535,            0.006535,            0.006535
                  16,            0.037397,            0.012769,                   0,             0.88031,             0.94118,             0.96326,             0.50639,            0.026773,           0.0065181,                   0,           0.0062875,           0.0062875,           0.0062875
                  17,            0.037022,            0.011762,                   0,             0.76183,             0.91176,              0.9328,             0.53862,            0.023216,           0.0053346,                   0,             0.00604,             0.00604,             0.00604
                  18,             0.03686,            0.011991,                   0,             0.72336,             0.85294,             0.89165,             0.49881,            0.025658,           0.0050416,                   0,           0.0057925,           0.0057925,           0.0057925
                  19,            0.038704,            0.010787,                   0,             0.75637,             0.91176,             0.90164,             0.60672,             0.02509,           0.0047719,                   0,            0.005545,            0.005545,            0.005545
                  20,            0.035634,            0.012391,                   0,             0.97122,             0.99282,             0.99443,             0.71936,            0.022218,           0.0046514,                   0,           0.0052975,           0.0052975,           0.0052975
